Age,Weight,Length
0 mth,7.4 lb (3.3 kg),"19.6"" (49.8 cm)"
1 mth,9.8 lb (4.4 kg),"21.6"" (54.8 cm)"
2 mth,12.3 lb (5.6 kg),"23.0"" (58.4 cm)"
3 mth,14.1 lb (6.4 kg),"24.2"" (61.4 cm)"
4 mth,15.4 lb (7 kg),"25.2"" (64 cm)"
5 mth,16.6 lb (7.5 kg),"26.0"" (66 cm)"
6 mth,17.5 lb (7.9 kg),"26.6"" (67.5 cm)"
7 mth,18.3 lb (8.3 kg),"27.2"" (69 cm)"
8 yrs,19.0 lb (8.6 kg),"27.8"" (70.6 cm)"
9 mth,19.6 lb (8.9 kg),"28.3"" (71.8 cm)"
10 mth,20.1 lb (9.1 kg),"28.8"" (73.1 cm)"
11 mth,20.8 lb (9.4 kg),"29.3"" (74.4 cm)"
12 mth,21.3 lb (9.6 kg),"29.8"" (75.7 cm)"
13 mth,21.8 lb (9.9 kg),"30.3"" (76.9 cm)"
14 mth,22.3 lb (10.1 kg),"30.7"" (77.9 cm)"
15 mth,22.7 lb (10.3 kg),"31.2"" (79.2 cm)"
16 mth,23.2 lb (10.5 kg),"31.6"" (80.2 cm)"
17 mth,23.7 lb (10.7 kg),"32.0"" (81.2 cm)"
18 mth,24.1 lb (10.9 kg),"32.4"" (82.2 cm)"
19 mth,24.6 lb (11.2 kg),"32.8"" (83.3 cm)"
20 mth,25.0 lb (11.3 kg),"33.1"" (84 cm)"
21 mth,25.5 lb (11.5 kg),"33.5"" (85 cm)"
22 mth,25.9 lb (11.7 kg),"33.9"" (86.1 cm)"
23 mth,26.3 lb (11.9 kg),"34.2"" (86.8 cm)"
2 yrs,27.5 lb (12.5 kg),"34.2"" (86.8 cm)"
3 yrs,31.0 lb (14.0 kg),"37.5"" (95.2 cm)"
4 yrs,36.0 lb (16.3 kg),"40.3"" (102.3 cm)"
5 yrs,40.5 lb (18.4 kg),"43.0"" (109.2 cm)"
6 yrs,45.5 lb (20.6 kg),"45.5"" (115.5 cm)"
7 yrs,50.5 lb (22.9 kg),"48.0"" (121.9 cm)"
8 yrs,56.5 lb (25.6 kg),"50.4"" (128 cm)"
9 yrs,63.0 lb (28.6 kg),"52.5"" (133.3 cm)"
10 yrs,70.5 lb (32 kg),"54.5"" (138.4 cm)"
11 yrs,78.5 lb (35.6 kg),"56.5"" (143.5 cm)"
12 yrs,88.0 lb (39.9 kg),"58.7"" (149.1 cm)"
13 yrs,100.0 lb (45.3 kg),"61.5"" (156.2 cm)"
14 yrs,112.0 lb (50.8 kg),"64.5"" (163.8 cm)"
15 yrs,123.5 lb (56.0 kg),"67.0"" (170.1 cm)"
16 yrs,134.0 lb (60.8 kg),"68.3"" (173.4 cm)"
17 yrs,142.0 lb (64.4 kg),"69.0"" (175.2 cm)"
18 yrs,147.5 lb (66.9 kg),"69.2"" (175.7 cm)"
19 yrs,152.0 lb (68.9 kg),"69.5"" (176.5 cm)"
20 yrs,155.0 lb (70.3 kg),"69.7"" (177 cm)"
