Age,Weight,Length
0 mth,7.3 lb (3.3 kg),"19.4"" (49.2 cm)"
1 mth,9.6 lb (4.3 kg),"21.2"" (53.8 cm)"
2 mth,11.7 lb (5.3 kg),"22.1"" (56.1 cm)"
3 mth,13.3 lb (6.0 kg),"23.6"" (59.9 cm)"
4 mth,14.6 lb (6.6 kg),"24.5"" (62.2 cm)"
5 mth,15.8 lb (7.1 kg),"25.3"" (64.2 cm)"
6 mth,16.6 lb (7.5 kg),"25.9"" (64.1 cm)"
7 mth,17.4 lb (7.9 kg),"26.5"" (67.3 cm)"
8 mth,18.1 lb (8.2 kg),"27.1"" (68.8 cm)"
9 mth,18.8 lb (8.5 kg),"27.6"" (70.1 cm)"
10 mth,19.4 lb (8.8 kg),"28.2"" (71.6 cm)"
11 mth,19.9 lb (9.0 kg),"28.7"" (72.8 cm)"
12 mth,20.4 lb (9.2 kg),"29.2"" (74.1 cm)"
13 mth,21.0 lb (9.5 kg),"29.6"" (75.1 cm)"
14 mth,21.5 lb (9.7 kg),"30.1"" (76.4 cm)"
15 mth,22.0 lb (9.9 kg),"30.6"" (77.7 cm)"
16 mth,22.5 lb (10.2 kg),"30.9"" (78.4 cm)"
17 mth,23.0 lb (10.4 kg),"31.4"" (79.7 cm)"
18 mth,23.4 lb (10.6 kg),"31.8"" (80.7 cm)"
19 mth,23.9 lb (10.8 kg),"32.2"" (81.7 cm)"
20 mth,24.4 lb (11 kg),"32.6"" (82.8 cm)"
21 mth,24.9 lb (11.3 kg),"32.9"" (83.5 cm)"
22 mth,25.4 lb (11.5 kg),"33.4"" (84.8 cm)"
23 mth,25.9 lb (11.7 kg),"33.5"" (85.1 cm)"
2 yrs,26.5 lb (12.0 kg),"33.7"" (85.5 cm)"
3 yrs,31.5 lb (14.2 kg),"37.0"" (94 cm)"
4 yrs,34.0 lb (15.4 kg),"39.5"" (100.3 cm)"
5 yrs,39.5 lb (17.9 kg),"42.5"" (107.9 cm)"
6 yrs,44.0 lb (19.9 kg),"45.5"" (115.5 cm)"
7 yrs,49.5 lb (22.4 kg),"47.7"" (121.1 cm)"
8 yrs,57.0 lb (25.8 kg),"50.5"" (128.2 cm)"
9 yrs,62.0 lb (28.1 kg),"52.5"" (133.3 cm)"
10 yrs,70.5 lb (31.9 kg),"54.5"" (138.4 cm)"
11 yrs,81.5 lb (36.9 kg),"56.7"" (144 cm)"
12 yrs,91.5 lb (41.5 kg),"59.0"" (149.8 cm)"
13 yrs,101.0 lb (45.8 kg),"61.7"" (156.7 cm)"
14 yrs,105.0 lb (47.6 kg),"62.5"" (158.7 cm)"
15 yrs,115.0 lb (52.1 kg),"62.9"" (159.7 cm)"
16 yrs,118.0 lb (53.5 kg),"64.0"" (162.5 cm)"
17 yrs,120.0 lb (54.4 kg),"64.0"" (162.5 cm)"
18 yrs,125.0 lb (56.7 kg),"64.2"" (163 cm)"
19 yrs,126.0 lb (57.1 kg),"64.2"" (163 cm)"
20 yrs,128.0 lb (58.0 kg),"64.3"" (163.3 cm)"
